"","target","BlkType","response","rt","sub","error"
"428","Present","1:1",3,0.503516918675814,"aleg",FALSE
"429","Absent","1:1",1,0.49273478259056,"aleg",FALSE
"430","Present","1:1",3,0.495227580719074,"aleg",FALSE
"431","Present","1:1",3,0.53537603901168,"aleg",FALSE
"432","Absent","1:1",1,0.607314932542067,"aleg",FALSE
"433","Present","1:1",3,0.460315223257567,"aleg",FALSE
"434","Present","1:1",3,0.38315640491237,"aleg",FALSE
"435","Present","1:1",3,0.436394914164339,"aleg",FALSE
"436","Present","1:1",3,0.452367472536935,"aleg",FALSE
"437","Present","1:1",3,0.398865812621807,"aleg",FALSE
"438","Absent","1:1",1,0.641332943903762,"aleg",FALSE
"439","Absent","1:1",1,0.518795351907102,"aleg",FALSE
"440","Present","1:1",3,0.41461506077394,"aleg",FALSE
"441","Absent","1:1",1,0.705307399441153,"aleg",FALSE
"442","Present","1:1",3,0.587745152250136,"aleg",FALSE
"443","Present","1:1",3,0.531704154796898,"aleg",FALSE
"444","Absent","1:1",1,0.526409620317281,"aleg",FALSE
"445","Absent","1:1",1,0.443786436238952,"aleg",FALSE
"446","Absent","1:1",1,0.598407466270146,"aleg",FALSE
"447","Present","1:1",1,0.318152973561155,"aleg",TRUE
"448","Absent","1:1",1,0.355704897456235,"aleg",FALSE
"449","Absent","1:1",1,0.347499495843294,"aleg",FALSE
"450","Absent","1:1",1,0.31290968130088,"aleg",FALSE
"451","Absent","1:1",1,0.566095673111704,"aleg",FALSE
"452","Absent","1:1",1,0.333834269662475,"aleg",FALSE
